,timestamp,prices,total_volume,market_caps,Vol_Mcap_ratio,Open,High,Low,Close,Volume,Close Time,Date,moving_avg_Vol_MCap,Un_Norm_Vol_MCap,Heiken_color,Greater,Slope,Pivot
19,1641859200000.0,35.85705808652769,26096321.92338715,1644280857.2393446,0.01587096377634744,35.41,39.43,34.83,38.4,160704.074,1641945599999.0,2022-01-11,0.02712966720185941,,red,1.0,8.44,
20,1641945600000.0,38.3973828170468,20214426.962522384,1756285681.6228814,0.011509760156925841,38.44,46.4,37.68,44.59,240809.839,1642031999999.0,2022-01-12,0.02585642297977807,,green,,16.12,
21,1642032000000.0,44.77640596353603,31195320.693207182,2064115978.1333401,0.015113162740699442,44.61,45.61,41.96,44.15,226596.591,1642118399999.0,2022-01-13,0.02465434128601814,,green,1.0,-0.99,
22,1642118400000.0,44.02732951683902,28269879.932698004,2032400936.675344,0.013909597964928432,44.15,48.62,43.34,44.73,232934.344,1642204799999.0,2022-01-14,0.02374215494147657,,green,,1.31,
23,1642204800000.0,44.83356420106318,33288689.540450055,2073389835.3242652,0.016055200509480606,44.73,48.0,43.91,45.57,190022.207,1642291199999.0,2022-01-15,0.022499419151499445,,green,1.0,1.88,top
24,1642291200000.0,45.672730916297894,22798990.429115694,2115243065.4784756,0.010778425799475902,45.55,45.57,39.59,40.94,164476.39,1642377599999.0,2022-01-16,0.017939484287449844,,red,,-10.16,
25,1642377600000.0,41.00810891742453,20359550.282090016,1903067739.3886425,0.010698279341664679,40.97,41.78,40.06,40.71,97802.739,1642463999999.0,2022-01-17,0.016426745940839316,,red,,-0.56,
26,1642464000000.0,40.78032513273714,13529092.656867227,1899003253.0114279,0.007124312523115942,40.71,41.56,39.13,40.19,80580.935,1642550399999.0,2022-01-18,0.015447828621474749,,red,,-1.28,
27,1642550400000.0,40.391653042561416,10363724.729117915,1885919685.9260137,0.00549531605532246,40.22,41.35,38.98,40.66,99207.617,1642636799999.0,2022-01-19,0.014853462410300727,,red,,1.17,
28,1642636800000.0,40.91350956765468,13026270.63465436,1915464609.7656293,0.00680058016642146,40.68,42.99,38.28,38.29,135415.06,1642723199999.0,2022-01-20,0.012987214020748867,,red,1.0,-5.83,
29,1642723200000.0,38.45843464250952,12742250.104625976,1824365023.2502596,0.006984484980930289,38.39,39.62,29.59,30.57,255223.322,1642809599999.0,2022-01-21,0.011676921148500675,,red,,-20.16,
