,timestamp,prices,total_volume,market_caps,Vol_Mcap_ratio,Open,High,Low,Close,Volume,Close Time,Date,moving_avg_Vol_MCap,Un_Norm_Vol_MCap,Heiken_color,Greater,Slope,Pivot
0,1609459200000.0,587.2288264669876,35912164.71885952,529774890.12218297,0.0677875931616484,585.45,601.0,571.86,581.06,3327.78887,1609545599999.0,2021-01-01,,,red,,,bottom
1,1609545600000.0,581.8920122978326,44415219.838539556,525219180.2093294,0.08456511397934399,580.83,617.44,568.21,610.68,4666.06899,1609631999999.0,2021-01-02,,,green,1.0,5.1,
2,1609632000000.0,610.36757453686,63959581.9997406,550350781.6987873,0.11621602826167392,610.68,700.0,608.06,675.38,9234.98045,1609718399999.0,2021-01-03,,,green,1.0,10.59,
3,1609718400000.0,677.8528955010664,108833703.48143499,618240722.059604,0.17603774646041906,674.82,752.53,618.14,689.91,6414.54917,1609804799999.0,2021-01-04,,,green,1.0,2.15,
4,1609804800000.0,671.821101039395,92304711.10209867,601664181.619591,0.1534156659511092,689.99,780.0,653.01,765.26,6043.59698,1609891199999.0,2021-01-05,,,green,,10.92,
5,1609891200000.0,769.1955926690183,102863774.49691983,693892078.5770162,0.14824174777706847,766.25,1248.99,743.46,1036.42,31416.32575,1609977599999.0,2021-01-06,,,green,,35.43,
6,1609977600000.0,1023.2170498151753,375587317.5274573,919199266.6542368,0.40860271668247217,1038.6,1190.0,1000.03,1056.66,17830.63034,1610063999999.0,2021-01-07,,,green,1.0,1.95,
7,1610064000000.0,1069.242707037297,272647821.09514475,961687240.9656155,0.2835098662860321,1058.98,1125.0,955.0,1039.74,9743.03125,1610150399999.0,2021-01-08,,,green,,-1.6,
8,1610150400000.0,1042.8735446593853,163309164.83044395,939483103.4901022,0.1738287407445263,1038.43,1602.0,1025.76,1598.25,25134.96818,1610236799999.0,2021-01-09,,,green,,53.72,
9,1610236800000.0,1574.4408576988862,458352309.5724043,1388515711.4264781,0.3301023573593708,1597.54,1978.77,1427.03,1487.41,39574.90258,1610323199999.0,2021-01-10,,,green,1.0,-6.94,
10,1610323200000.0,1520.4651405785914,642085888.2001374,1382295963.4757917,0.4645068098047602,1487.4,1498.87,1077.0,1407.26,23125.493,1610409599999.0,2021-01-11,,,red,1.0,-5.39,
11,1610409600000.0,1405.2161942290707,485067108.4894656,1250385835.1921995,0.38793394393731667,1407.61,1639.0,1313.63,1489.82,17880.24665,1610495999999.0,2021-01-12,,,green,,5.87,
12,1610496000000.0,1486.3333017966756,394933521.60367054,1342195383.605329,0.2942444344748248,1486.58,1581.99,1379.35,1546.0,10896.8385,1610582399999.0,2021-01-13,,,green,,3.77,
13,1610582400000.0,1549.0784192259096,273744809.2692218,1405384543.3905578,0.19478285182274688,1547.18,1710.47,1476.97,1608.32,11519.96593,1610668799999.0,2021-01-14,0.2345554011930938,,green,,4.03,top
14,1610668800000.0,1586.0095806187023,268052490.91447818,1415682351.8734372,0.1893450819385804,1608.3,1650.0,1339.8,1470.49,9203.25603,1610755199999.0,2021-01-15,0.24323807896287467,,red,,-8.57,
15,1610755200000.0,1470.637518655987,253716308.33704653,1331425622.8542943,0.19055988106427796,1471.88,1619.58,1446.94,1484.61,7961.85155,1610841599999.0,2021-01-16,0.25080913375465563,,red,,0.96,
16,1610841600000.0,1488.8790360109044,217876326.91834924,1344002663.690122,0.16211004100255533,1482.0,1514.69,1420.0,1447.67,5669.91523,1610927999999.0,2021-01-17,0.25408727752186144,,red,,-2.49,
17,1610928000000.0,1446.5407891013226,186723617.51569334,1316320952.3701358,0.14185265164964767,1447.66,1472.74,1362.81,1422.04,4583.39435,1611014399999.0,2021-01-18,0.2516454850353778,,red,,-1.77,
18,1611014400000.0,1419.5729007248242,152353763.20139977,1281695671.2944114,0.11886890672536524,1423.7,1532.69,1397.82,1407.2,6688.82662,1611100799999.0,2021-01-19,0.24917785937639608,,red,,-1.04,
19,1611100800000.0,1420.405060474451,174192766.71688002,1292089454.3096364,0.134814788663337,1403.0,1443.47,1268.98,1414.31,7064.43125,1611187199999.0,2021-01-20,0.2482187908682724,,red,1.0,0.51,
